Model,MAE,RMSE,R2 Score
Linear Regression,330.1030872639032,440.29340144575644,0.534717316966791
Decision Tree,131.4252283105023,254.14501330025763,0.8449771486222157
Random Forest,98.5847203196347,174.30969828025863,0.9270751343353857
XGBoost,98.80894470214844,168.2729135585998,0.9320387840270996
